source_name,kind,agency,title,published_date,url,document_url,format,source_page
NYC Independent Budget Office,report,,The Effect of EarlyLearn NYC on Subsidized Childcare Capacity,,https://www.ibo.nyc.ny.us/iboreports/earlylearn53012.pdf,https://www.ibo.nyc.ny.us/iboreports/earlylearn53012.pdf,pdf,https://ibo.nyc.ny.us/publicationsSocialCommunity.html
NYC Independent Budget Office,report,,Bearing the Cost of Early Intervention Services: Recent Changes Not Likely to Shift Much Spending From City & State to Private Insurers,,https://www.ibo.nyc.ny.us/iboreports/ei4192012.pdf,https://www.ibo.nyc.ny.us/iboreports/ei4192012.pdf,pdf,https://ibo.nyc.ny.us/publicationsSocialCommunity.html
NYC Independent Budget Office,report,,"A Changed Emphasis in City’s Child Welfare System: How Has Shift Away From Foster Care Affected Funding, Spending, Caseloads?",,https://www.ibo.nyc.ny.us/iboreports/childwelfare101211.pdf,https://www.ibo.nyc.ny.us/iboreports/childwelfare101211.pdf,pdf,https://ibo.nyc.ny.us/publicationsSocialCommunity.html
NYC Independent Budget Office,report,,"City’s Subsidized Child Care System Faces Rising Costs, Shrinking Funds",,https://www.ibo.nyc.ny.us/iboreports/childcareoctober2010.pdf,https://www.ibo.nyc.ny.us/iboreports/childcareoctober2010.pdf,pdf,https://ibo.nyc.ny.us/publicationsSocialCommunity.html
NYC Independent Budget Office,report,,Effect of Closing ACS Day Care Centers to Kindergartners on Average Kindergarten Class Size,,https://www.ibo.nyc.ny.us/iboreports/acskindergartenletter.pdf,https://www.ibo.nyc.ny.us/iboreports/acskindergartenletter.pdf,pdf,https://ibo.nyc.ny.us/publicationsSocialCommunity.html
NYC Independent Budget Office,report,,Testimony to the New York City Council Youth Services Committee On the LGBTQ Commission Report,,https://www.ibo.nyc.ny.us/iboreports/runawayyouthcc92110pdf.pdf,https://www.ibo.nyc.ny.us/iboreports/runawayyouthcc92110pdf.pdf,pdf,https://ibo.nyc.ny.us/publicationsSocialCommunity.html
NYC Independent Budget Office,report,,City Spending for Runaway and Homeless Youth Grows Steadily,,https://www.ibo.nyc.ny.us/iboreports/rhyaugust122010.pdf,https://www.ibo.nyc.ny.us/iboreports/rhyaugust122010.pdf,pdf,https://ibo.nyc.ny.us/publicationsSocialCommunity.html
NYC Independent Budget Office,report,,Estimated Costs of Language Access Policies in New York City Agencies,,https://www.ibo.nyc.ny.us/iboreports/OddoLetterSeptember2009.pdf,https://www.ibo.nyc.ny.us/iboreports/OddoLetterSeptember2009.pdf,pdf,https://ibo.nyc.ny.us/publicationsSocialCommunity.html
NYC Independent Budget Office,report,,A One-Time Cure for the Summertime Job Blues,,https://ibo.nyc.ny.us/cgi-park?p=62,,html,https://ibo.nyc.ny.us/publicationsSocialCommunity.html
NYC Independent Budget Office,report,,"Since 2000, Funding Changes Cause Annual Uncertainty for Summer Jobs Program",,https://www.ibo.nyc.ny.us/iboreports/SYEP_jun2006.pdf,https://www.ibo.nyc.ny.us/iboreports/SYEP_jun2006.pdf,pdf,https://ibo.nyc.ny.us/publicationsSocialCommunity.html
NYC Independent Budget Office,report,,"As City Plans Child Care Improvements, Funding Tightens",,https://www.ibo.nyc.ny.us/iboreports/ChildcareFB_dec2005.pdf,https://www.ibo.nyc.ny.us/iboreports/ChildcareFB_dec2005.pdf,pdf,https://ibo.nyc.ny.us/publicationsSocialCommunity.html
NYC Independent Budget Office,report,,City's Reliance on State and Federal Funds for Child Care Grows,,https://www.ibo.nyc.ny.us/iboreports/Dec2002backgroundpaper.pdf,https://www.ibo.nyc.ny.us/iboreports/Dec2002backgroundpaper.pdf,pdf,https://ibo.nyc.ny.us/publicationsSocialCommunity.html
