rank_window,heat_score,heat_rank_score,source,kind,agency,title,published_date,url,document_url,format,rationale,heat_score_today,exact_url_mentions_today,filename_mentions_today,canonical_mentions_today,social_exact_mentions_today,crawl_hits_today,providers_checked_today,errors_today,heat_score_7d,exact_url_mentions_7d,filename_mentions_7d,canonical_mentions_7d,social_exact_mentions_7d,crawl_hits_7d,providers_checked_7d,errors_7d,heat_score_30d,exact_url_mentions_30d,filename_mentions_30d,canonical_mentions_30d,social_exact_mentions_30d,crawl_hits_30d,providers_checked_30d,errors_30d
7d,6.0,6.0,NYC Rules - Proposed,rule,DCWP,Debt Collectors,2022-12-19,https://rules.cityofnewyork.us/rule/debt-collectors,,html,filename mentions found; lower-confidence heat,0.0,0,0,0,0,0,"googlenews,hackernews",,6.0,0,3,0,0,0,"googlenews,hackernews",,10.0,0,8,0,0,0,"googlenews,hackernews",
7d,4.0,4.0,NYC Rules - Proposed,rule,HRA,Emergency Food Assistance Program,2022-08-12,https://rules.cityofnewyork.us/rule/emergency-food-assistance-program,,html,filename mentions found; lower-confidence heat,2.0,0,1,0,0,0,"googlenews,hackernews",,4.0,0,2,0,0,0,"googlenews,hackernews",,10.0,0,6,0,0,0,"googlenews,hackernews",
7d,2.0,2.0,NYC Rules - Proposed,rule,DCWP,Towing Industry,2022-10-31,https://rules.cityofnewyork.us/rule/towing-industry,,html,filename mentions found; lower-confidence heat,0.0,0,0,0,0,0,"googlenews,hackernews",,2.0,0,1,0,0,0,"googlenews,hackernews",,8.0,0,4,0,0,0,"googlenews,hackernews",
7d,0.0,0.0,NYC Rules - Proposed,rule,DOHMH,Further Amendment of Rules Relating to Vital Records,2026-07-02,https://rules.cityofnewyork.us/rule/further-amendment-of-rules-relating-to-vital-records,,html,no public exact-link mentions found in checked heat sources,0.0,0,0,0,0,0,"googlenews,hackernews",hackernews:https://rules.cityofnewyork.us/rule/further-amendment-of-rules-relating-to-vital-records:403 Client Error: Forbidden for url: https://hn.algolia.com/api/v1/search_by_date?query=https%3A%2F%2Frules.cityofnewyork.us%2Frule%2Ffurther-amendment-of-rules-relating-to-vital-records&hitsPerPage=20&tags=story%2Ccomment&numericFilters=created_at_i%3E1781015868 | hackernews:further-amendment-of-rules-relating-to-vital-records:403 Client Error: Forbidden for url: https://hn.algolia.com/api/v1/search_by_date?query=further-amendment-of-rules-relating-to-vital-records&hitsPerPage=20&tags=story%2Ccomment&numericFilters=created_at_i%3E1781015868,0.0,0,0,0,0,0,"googlenews,hackernews",hackernews:https://rules.cityofnewyork.us/rule/further-amendment-of-rules-relating-to-vital-records:403 Client Error: Forbidden for url: https://hn.algolia.com/api/v1/search_by_date?query=https%3A%2F%2Frules.cityofnewyork.us%2Frule%2Ffurther-amendment-of-rules-relating-to-vital-records&hitsPerPage=20&tags=story%2Ccomment&numericFilters=created_at_i%3E1780497468 | hackernews:further-amendment-of-rules-relating-to-vital-records:403 Client Error: Forbidden for url: https://hn.algolia.com/api/v1/search_by_date?query=further-amendment-of-rules-relating-to-vital-records&hitsPerPage=20&tags=story%2Ccomment&numericFilters=created_at_i%3E1780497469,0.0,0,0,0,0,0,"googlenews,hackernews",hackernews:https://rules.cityofnewyork.us/rule/further-amendment-of-rules-relating-to-vital-records:403 Client Error: Forbidden for url: https://hn.algolia.com/api/v1/search_by_date?query=https%3A%2F%2Frules.cityofnewyork.us%2Frule%2Ffurther-amendment-of-rules-relating-to-vital-records&hitsPerPage=20&tags=story%2Ccomment&numericFilters=created_at_i%3E1778510269 | hackernews:further-amendment-of-rules-relating-to-vital-records:403 Client Error: Forbidden for url: https://hn.algolia.com/api/v1/search_by_date?query=further-amendment-of-rules-relating-to-vital-records&hitsPerPage=20&tags=story%2Ccomment&numericFilters=created_at_i%3E1778510269
7d,0.0,0.0,NYC Rules - Proposed,rule,DOHMH,Amendment of Rules Relating to Lead Dust,2026-07-01,https://rules.cityofnewyork.us/rule/amendment-of-rules-relating-to-lead-dust,,html,no public exact-link mentions found in checked heat sources,0.0,0,0,0,0,0,"googlenews,hackernews",hackernews:https://rules.cityofnewyork.us/rule/amendment-of-rules-relating-to-lead-dust:403 Client Error: Forbidden for url: https://hn.algolia.com/api/v1/search_by_date?query=https%3A%2F%2Frules.cityofnewyork.us%2Frule%2Famendment-of-rules-relating-to-lead-dust&hitsPerPage=20&tags=story%2Ccomment&numericFilters=created_at_i%3E1781015869 | hackernews:amendment-of-rules-relating-to-lead-dust:403 Client Error: Forbidden for url: https://hn.algolia.com/api/v1/search_by_date?query=amendment-of-rules-relating-to-lead-dust&hitsPerPage=20&tags=story%2Ccomment&numericFilters=created_at_i%3E1781015869,0.0,0,0,0,0,0,"googlenews,hackernews",hackernews:https://rules.cityofnewyork.us/rule/amendment-of-rules-relating-to-lead-dust:403 Client Error: Forbidden for url: https://hn.algolia.com/api/v1/search_by_date?query=https%3A%2F%2Frules.cityofnewyork.us%2Frule%2Famendment-of-rules-relating-to-lead-dust&hitsPerPage=20&tags=story%2Ccomment&numericFilters=created_at_i%3E1780497469 | hackernews:amendment-of-rules-relating-to-lead-dust:403 Client Error: Forbidden for url: https://hn.algolia.com/api/v1/search_by_date?query=amendment-of-rules-relating-to-lead-dust&hitsPerPage=20&tags=story%2Ccomment&numericFilters=created_at_i%3E1780497469,0.0,0,0,0,0,0,"googlenews,hackernews",
7d,0.0,0.0,NYC Rules - Proposed,rule,DPR,Special Event Permits,2026-06-24,https://rules.cityofnewyork.us/rule/dpr-proposed-amendment-of-rules-relating-to-special-event-permits,,html,no public exact-link mentions found in checked heat sources,0.0,0,0,0,0,0,"googlenews,hackernews",hackernews:https://rules.cityofnewyork.us/rule/dpr-proposed-amendment-of-rules-relating-to-special-event-permits:403 Client Error: Forbidden for url: https://hn.algolia.com/api/v1/search_by_date?query=https%3A%2F%2Frules.cityofnewyork.us%2Frule%2Fdpr-proposed-amendment-of-rules-relating-to-special-event-permits&hitsPerPage=20&tags=story%2Ccomment&numericFilters=created_at_i%3E1781015869 | hackernews:dpr-proposed-amendment-of-rules-relating-to-special-event-permits:403 Client Error: Forbidden for url: https://hn.algolia.com/api/v1/search_by_date?query=dpr-proposed-amendment-of-rules-relating-to-special-event-permits&hitsPerPage=20&tags=story%2Ccomment&numericFilters=created_at_i%3E1781015869,0.0,0,0,0,0,0,"googlenews,hackernews",hackernews:https://rules.cityofnewyork.us/rule/dpr-proposed-amendment-of-rules-relating-to-special-event-permits:403 Client Error: Forbidden for url: https://hn.algolia.com/api/v1/search_by_date?query=https%3A%2F%2Frules.cityofnewyork.us%2Frule%2Fdpr-proposed-amendment-of-rules-relating-to-special-event-permits&hitsPerPage=20&tags=story%2Ccomment&numericFilters=created_at_i%3E1780497469,0.0,0,0,0,0,0,"googlenews,hackernews",
7d,0.0,0.0,NYC Rules - Proposed,rule,DSNY,Containerization Requirements for Buildings Containing 10 or More Dwelling Units,2026-06-17,https://rules.cityofnewyork.us/rule/relating-to-containerization-requirements-for-buildings-containing-10-or-more-dwelling-units,,html,no public exact-link mentions found in checked heat sources,0.0,0,0,0,0,0,"googlenews,hackernews",hackernews:https://rules.cityofnewyork.us/rule/relating-to-containerization-requirements-for-buildings-containing-10-or-more-dwelling-units:403 Client Error: Forbidden for url: https://hn.algolia.com/api/v1/search_by_date?query=https%3A%2F%2Frules.cityofnewyork.us%2Frule%2Frelating-to-containerization-requirements-for-buildings-containing-10-or-more-dwelling-units&hitsPerPage=20&tags=story%2Ccomment&numericFilters=created_at_i%3E1781015869 | hackernews:relating-to-containerization-requirements-for-buildings-containing-10-or-more-dwelling-units:403 Client Error: Forbidden for url: https://hn.algolia.com/api/v1/search_by_date?query=relating-to-containerization-requirements-for-buildings-containing-10-or-more-dwelling-units&hitsPerPage=20&tags=story%2Ccomment&numericFilters=created_at_i%3E1781015869,0.0,0,0,0,0,0,"googlenews,hackernews",,0.0,0,0,0,0,0,"googlenews,hackernews",
7d,0.0,0.0,NYC Rules - Proposed,rule,DOF,PACE Financing Program,2026-06-22,https://rules.cityofnewyork.us/rule/amendment-of-rule-relating-to-pace-financing-program,,html,no public exact-link mentions found in checked heat sources,0.0,0,0,0,0,0,"googlenews,hackernews",hackernews:https://rules.cityofnewyork.us/rule/amendment-of-rule-relating-to-pace-financing-program:403 Client Error: Forbidden for url: https://hn.algolia.com/api/v1/search_by_date?query=https%3A%2F%2Frules.cityofnewyork.us%2Frule%2Famendment-of-rule-relating-to-pace-financing-program&hitsPerPage=20&tags=story%2Ccomment&numericFilters=created_at_i%3E1781015869 | hackernews:amendment-of-rule-relating-to-pace-financing-program:403 Client Error: Forbidden for url: https://hn.algolia.com/api/v1/search_by_date?query=amendment-of-rule-relating-to-pace-financing-program&hitsPerPage=20&tags=story%2Ccomment&numericFilters=created_at_i%3E1781015869,0.0,0,0,0,0,0,"googlenews,hackernews",hackernews:https://rules.cityofnewyork.us/rule/amendment-of-rule-relating-to-pace-financing-program:403 Client Error: Forbidden for url: https://hn.algolia.com/api/v1/search_by_date?query=https%3A%2F%2Frules.cityofnewyork.us%2Frule%2Famendment-of-rule-relating-to-pace-financing-program&hitsPerPage=20&tags=story%2Ccomment&numericFilters=created_at_i%3E1780497469,0.0,0,0,0,0,0,"googlenews,hackernews",
7d,0.0,0.0,NYC Rules - Proposed,rule,HPD,Applications Pursuant to RPTL §485-x - ANNY Program Benefits,2026-06-30,https://rules.cityofnewyork.us/rule/proposed-amendment-of-rules-relating-to-applications-pursuant-to-rptl-%c2%a7485-x,,html,no public exact-link mentions found in checked heat sources,0.0,0,0,0,0,0,"googlenews,hackernews",,0.0,0,0,0,0,0,"googlenews,hackernews",,0.0,0,0,0,0,0,"googlenews,hackernews",
7d,0.0,0.0,NYC Rules - Proposed,rule,RGB,"Rent Guidelines for October 1, 2026 to September 30, 2027",2026-10-01,https://rules.cityofnewyork.us/rule/rent-guidelines-for-october-1-2026-to-september-30-2027,,html,no public exact-link mentions found in checked heat sources,0.0,0,0,0,0,0,"googlenews,hackernews",,0.0,0,0,0,0,0,"googlenews,hackernews",,0.0,0,0,0,0,0,"googlenews,hackernews",
